"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 15 21:14:45 GMT 2021","Fri Oct 15 21:14:45 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Fri Oct 15 21:14:32 GMT 2021","Fri Oct 15 21:14:43 GMT 2021","10831","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"failed","Fri Oct 15 21:11:50 GMT 2021","Fri Oct 15 21:12:00 GMT 2021","10957","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"passed","Fri Oct 15 21:12:52 GMT 2021","Fri Oct 15 21:12:55 GMT 2021","2357","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"failed","Fri Oct 15 21:12:01 GMT 2021","Fri Oct 15 21:12:13 GMT 2021","11215","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Fri Oct 15 21:14:27 GMT 2021","Fri Oct 15 21:14:30 GMT 2021","2672","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"skipped","Fri Oct 15 21:12:03 GMT 2021","Fri Oct 15 21:12:03 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"passed","Fri Oct 15 21:11:56 GMT 2021","Fri Oct 15 21:11:59 GMT 2021","3663","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"skipped","Fri Oct 15 21:13:10 GMT 2021","Fri Oct 15 21:13:10 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Fri Oct 15 21:12:57 GMT 2021","Fri Oct 15 21:13:07 GMT 2021","10899","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"passed","Fri Oct 15 21:11:44 GMT 2021","Fri Oct 15 21:11:47 GMT 2021","3505","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"skipped","Fri Oct 15 21:12:15 GMT 2021","Fri Oct 15 21:12:15 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
